NIC58	IPR_accession	IPR_description	GO
NIC58.4620	IPR029071	Ubiquitin-like domain superfamily	-
NIC58.4620	IPR000626	Ubiquitin-like domain	GO:0005515(InterPro)
NIC58.4620	IPR049127	TECR-like, N-terminal domain	-
NIC58.4620	IPR039357	3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase	GO:0016491(PANTHER)|GO:0042761(PANTHER)
NIC58.340	IPR029071	Ubiquitin-like domain superfamily	-
NIC58.340	IPR000626	Ubiquitin-like domain	GO:0005515(InterPro)
NIC58.340	IPR000626	Ubiquitin-like domain	GO:0005515(InterPro)
NIC58.4714	IPR040264	Uncharacterized protein T15H9.4-like	-
NIC58.4714	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.4714	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.1139	IPR019002	Ribosome biogenesis protein Nop16	-
NIC58.1139	IPR019002	Ribosome biogenesis protein Nop16	-
NIC58.1139	IPR019002	Ribosome biogenesis protein Nop16	GO:0005730(PANTHER)|GO:0042273(PANTHER)
NIC58.4558	IPR034101	Sm-like protein Lsm4	GO:0000398(InterPro)|GO:0000956(InterPro)
NIC58.4558	IPR001163	Sm domain, eukaryotic/archaea-type	-
NIC58.4558	IPR010920	LSM domain superfamily	-
NIC58.4558	IPR047575	Sm domain	GO:0003723(InterPro)
NIC58.4558	IPR027141	Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3	GO:0006396(InterPro)
NIC58.4558	IPR001163	Sm domain, eukaryotic/archaea-type	-
NIC58.3966	IPR011583	Chitinase II/V-like, catalytic domain	GO:0008061(InterPro)
NIC58.3966	IPR001223	Glycoside hydrolase family 18, catalytic domain	GO:0005975(InterPro)
NIC58.3966	IPR001223	Glycoside hydrolase family 18, catalytic domain	GO:0005975(InterPro)
NIC58.3966	IPR017853	Glycoside hydrolase superfamily	-
NIC58.8514	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.8514	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
NIC58.17663	IPR034750	CULT domain	-
NIC58.17663	IPR034750	CULT domain	-
NIC58.14026	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.14026	-	-	GO:0009790(PANTHER)
NIC58.14026	IPR012885	Sdz-33, F-box domain	-
NIC58.9440	IPR002068	Alpha crystallin/Hsp20 domain	-
NIC58.9440	IPR008978	HSP20-like chaperone	-
NIC58.9440	IPR002068	Alpha crystallin/Hsp20 domain	-
NIC58.9440	IPR008978	HSP20-like chaperone	-
NIC58.9440	IPR001436	Alpha crystallin/Small heat shock protein, animal type	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0009408(PANTHER)|GO:0036498(PANTHER)|GO:0042026(PANTHER)|GO:0051082(PANTHER)
NIC58.9440	IPR001436	Alpha crystallin/Small heat shock protein, animal type	-
NIC58.9440	IPR001436	Alpha crystallin/Small heat shock protein, animal type	-
NIC58.9440	IPR001436	Alpha crystallin/Small heat shock protein, animal type	-
NIC58.16908	-	-	GO:0045087(PANTHER)|GO:0045121(PANTHER)
NIC58.16908	IPR056711	Domain of unknown function DUF7809	-
NIC58.19845	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.19845	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.19845	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.19845	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.19845	IPR011009	Protein kinase-like domain superfamily	-
NIC58.19845	IPR050235	Casein Kinase 1 Ser/Thr Protein Kinase	-
NIC58.315	IPR036420	BRCT domain superfamily	-
NIC58.315	IPR036420	BRCT domain superfamily	-
NIC58.315	IPR001357	BRCT domain	-
NIC58.315	IPR047249	TP53-binding protein 1-like, first BRCT domain	-
NIC58.315	IPR056492	Hsr-9, Tudor domain	-
NIC58.315	IPR047250	TP53-binding protein 1-like, second BRCT domain	-
NIC58.315	IPR036420	BRCT domain superfamily	-
NIC58.315	IPR001357	BRCT domain	-
NIC58.315	IPR047252	TP53-binding protein 1-like	GO:0000077(PANTHER)|GO:0005634(PANTHER)|GO:0042393(PANTHER)|GO:0045944(PANTHER)
NIC58.315	IPR036420	BRCT domain superfamily	-
NIC58.315	IPR001357	BRCT domain	-
NIC58.8243	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.8243	IPR009057	Homedomain-like superfamily	-
NIC58.8243	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.8243	-	-	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0005667(PANTHER)|GO:0006357(PANTHER)
NIC58.8243	IPR031701	Homeobox protein SIX1, N-terminal SD domain	-
NIC58.8243	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.8243	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.14096	IPR003593	AAA+ ATPase domain	-
NIC58.14096	IPR050352	ATP-binding cassette subfamily G transporters	GO:0005886(PANTHER)|GO:0016020(PANTHER)|GO:0042626(PANTHER)|GO:0055085(PANTHER)
NIC58.14096	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.14096	IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524(InterPro)|GO:0016887(InterPro)
NIC58.14096	IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524(InterPro)|GO:0016887(InterPro)
NIC58.14096	IPR013525	ABC-2 type transporter, transmembrane domain	GO:0016020(InterPro)|GO:0140359(InterPro)
NIC58.14096	IPR043926	ABC transporter family G domain	GO:0140359(InterPro)
NIC58.14096	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.14096	IPR005284	Pigment precursor permease/Protein ATP-binding cassette sub-family G	GO:0016020(InterPro)|GO:0055085(InterPro)
NIC58.7901	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR052861	BPTI/Kunitz domain-containing protein	-
NIC58.7901	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.7901	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.7901	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.7901	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7901	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.14278	IPR057139	P-granule-associated protein DEPS-1, first OB-fold	-
NIC58.14278	IPR057143	P-granule-associated protein DEPS-1, second OB-fold	-
NIC58.994	IPR040546	Rege-1, UBA-like domain	-
NIC58.994	IPR021869	Ribonuclease Zc3h12a-like, NYN domain	-
NIC58.994	IPR040757	Endoribonuclease Regnase 1/ZC3H12, C-terminal domain	-
NIC58.994	IPR051101	ZC3H12/N4BP1 Ribonuclease and Regulator	GO:0003729(PANTHER)|GO:0004521(PANTHER)|GO:0005634(PANTHER)|GO:0036464(PANTHER)|GO:0090502(PANTHER)
NIC58.994	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.3831	IPR036941	Receptor L-domain superfamily	-
NIC58.3831	IPR036941	Receptor L-domain superfamily	-
NIC58.3831	IPR053079	SPS2 domain-containing protein	-
NIC58.3831	IPR036941	Receptor L-domain superfamily	-
NIC58.3831	IPR036941	Receptor L-domain superfamily	-
NIC58.3831	IPR000494	Receptor L-domain	-
NIC58.3831	IPR000494	Receptor L-domain	-
NIC58.3831	IPR000494	Receptor L-domain	-
NIC58.3831	IPR000494	Receptor L-domain	-
NIC58.10190	IPR000494	Receptor L-domain	-
NIC58.10190	IPR000494	Receptor L-domain	-
NIC58.10190	IPR000494	Receptor L-domain	-
NIC58.10190	IPR036941	Receptor L-domain superfamily	-
NIC58.10190	IPR036941	Receptor L-domain superfamily	-
NIC58.10190	IPR036941	Receptor L-domain superfamily	-
NIC58.10190	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.10190	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.10190	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.10190	IPR019427	7TM GPCR, serpentine receptor class w (Srw)	GO:0008528(InterPro)
NIC58.10190	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.12724	IPR012919	SUN domain	-
NIC58.12724	IPR012919	SUN domain	-
NIC58.12724	IPR045119	SUN domain-containing protein 1-5	GO:0005635(PANTHER)|GO:0034993(PANTHER)|GO:0043495(PANTHER)
NIC58.11539	IPR039361	Cyclin	-
NIC58.11539	IPR004367	Cyclin, C-terminal domain	-
NIC58.11539	IPR046965	Cyclin A/B-like	GO:0016538(InterPro)|GO:0044772(InterPro)
NIC58.11539	IPR046965	Cyclin A/B-like	GO:0016538(InterPro)|GO:0044772(InterPro)
NIC58.11539	IPR004367	Cyclin, C-terminal domain	-
NIC58.11539	IPR036915	Cyclin-like superfamily	-
NIC58.11539	IPR006671	Cyclin, N-terminal	-
NIC58.11539	IPR036915	Cyclin-like superfamily	-
NIC58.4578	IPR032803	PLD-like domain	-
NIC58.4578	IPR025202	Phospholipase D-like domain	-
NIC58.4578	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824(InterPro)
NIC58.4578	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824(InterPro)
NIC58.4578	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824(InterPro)
NIC58.4578	IPR050874	Diverse function phospholipase D-related protein	-
NIC58.4578	IPR001736	Phospholipase D/Transphosphatidylase	GO:0003824(InterPro)
NIC58.8294	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.7378	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.2565	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.2565	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.13371	-	-	GO:0009790(PANTHER)
NIC58.13371	IPR012885	Sdz-33, F-box domain	-
NIC58.12373	-	-	GO:0005355(PANTHER)
NIC58.12373	IPR036259	MFS transporter superfamily	-
NIC58.3763	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.3763	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.3763	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.3763	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)
NIC58.3763	IPR011009	Protein kinase-like domain superfamily	-
NIC58.3763	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.3763	IPR050339	Cell Cycle and Stress Response Kinase	GO:0004672(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)|GO:0051321(PANTHER)|GO:0110031(PANTHER)
NIC58.2308	IPR055578	Domain of unknown function DUF7154	-
NIC58.14917	IPR009081	Phosphopantetheine binding ACP domain	-
NIC58.14917	IPR020845	AMP-binding, conserved site	-
NIC58.14917	IPR036736	ACP-like superfamily	-
NIC58.14917	IPR042099	ANL, N-terminal domain	-
NIC58.14917	IPR036736	ACP-like superfamily	-
NIC58.14917	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.14917	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.14917	-	-	GO:0005737(PANTHER)|GO:0031177(PANTHER)|GO:0043041(PANTHER)|GO:0044550(PANTHER)
NIC58.14917	IPR001242	Condensation domain	GO:0003824(InterPro)
NIC58.14917	IPR001242	Condensation domain	GO:0003824(InterPro)
NIC58.14917	IPR009081	Phosphopantetheine binding ACP domain	-
NIC58.14917	IPR009081	Phosphopantetheine binding ACP domain	-
NIC58.14917	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.14917	IPR023213	Chloramphenicol acetyltransferase-like domain superfamily	-
NIC58.14917	IPR036736	ACP-like superfamily	-
NIC58.14917	IPR042099	ANL, N-terminal domain	-
NIC58.14917	IPR006162	Phosphopantetheine attachment site	-
NIC58.14917	IPR009081	Phosphopantetheine binding ACP domain	-
NIC58.14917	IPR036736	ACP-like superfamily	-
NIC58.14917	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.14917	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.14917	IPR025110	AMP-binding enzyme, C-terminal domain	-
NIC58.14917	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0006508(InterPro)
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0006508(InterPro)
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0006508(InterPro)
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0006508(InterPro)
NIC58.14077	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0006508(InterPro)
NIC58.14077	IPR001563	Peptidase S10, serine carboxypeptidase	GO:0004185(InterPro)|GO:0004185(PANTHER)|GO:0006508(InterPro)
NIC58.14077	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.14077	IPR018202	Serine carboxypeptidase, serine active site	GO:0004185(InterPro)
NIC58.15898	IPR036085	PAZ domain superfamily	GO:0005515(InterPro)
NIC58.10645	IPR013087	Zinc finger C2H2-type	-
NIC58.10645	IPR043502	DNA/RNA polymerase superfamily	-
NIC58.10645	IPR003615	HNH nuclease	-
NIC58.2173	IPR018787	Protein of unknown function DUF2371, TMEM200	-
NIC58.2173	IPR018787	Protein of unknown function DUF2371, TMEM200	-
NIC58.3306	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.3306	-	-	GO:0009790(PANTHER)
NIC58.3306	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.822	IPR056654	Domain of unknown function DUF7752	-
NIC58.822	IPR056053	Domain of unknown function DUF7636	-
NIC58.822	IPR057493	PH-like domain, RdRP associated	-
NIC58.822	IPR057596	RNA dependent RNA polymerase core	-
NIC58.822	IPR056054	Domain of unknown function DUF7637	-
NIC58.822	IPR007855	RNA-dependent RNA polymerase, eukaryotic-type	GO:0003968(InterPro)|GO:0003968(PANTHER)|GO:0030422(PANTHER)|GO:0031380(PANTHER)
NIC58.13536	IPR007741	Ribosomal protein/NADH dehydrogenase domain	-
NIC58.13536	IPR040049	Ribosomal subunit protein mS25/mL61, mitochondrial	GO:0003735(PANTHER)|GO:0003735(InterPro)|GO:0005739(InterPro)|GO:0005739(PANTHER)
NIC58.13536	IPR007741	Ribosomal protein/NADH dehydrogenase domain	-
NIC58.13536	IPR036249	Thioredoxin-like superfamily	-
NIC58.6359	IPR052304	Pituitary tumor-transforming gene 1 protein-interacting	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006606(PANTHER)
NIC58.245	IPR000794	Beta-ketoacyl synthase	-
NIC58.245	IPR016039	Thiolase-like	GO:0016746(InterPro)
NIC58.245	IPR016039	Thiolase-like	GO:0016746(InterPro)
NIC58.245	IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	-
NIC58.245	IPR014030	Beta-ketoacyl synthase-like, N-terminal	-
NIC58.245	IPR014031	Beta-ketoacyl synthase, C-terminal	-
NIC58.245	IPR020841	Polyketide synthase, beta-ketoacyl synthase domain	-
NIC58.245	IPR018201	Beta-ketoacyl synthase, active site	GO:0004315(InterPro)|GO:0006633(InterPro)
NIC58.245	IPR000794	Beta-ketoacyl synthase	GO:0004315(PANTHER)|GO:0005739(PANTHER)|GO:0006633(PANTHER)
NIC58.245	IPR016039	Thiolase-like	GO:0016746(InterPro)
NIC58.10926	IPR051101	ZC3H12/N4BP1 Ribonuclease and Regulator	GO:0003729(PANTHER)|GO:0004521(PANTHER)|GO:0005634(PANTHER)|GO:0036464(PANTHER)|GO:0090502(PANTHER)
NIC58.10926	IPR021869	Ribonuclease Zc3h12a-like, NYN domain	-
NIC58.10364	IPR002900	Domain of unknown function DUF38/FTH, Caenorhabditis species	-
NIC58.6124	IPR021942	Protein of unknown function DUF3557	-
NIC58.8862	IPR023346	Lysozyme-like domain superfamily	-
NIC58.8862	IPR000726	Glycoside hydrolase, family 19, catalytic	GO:0004568(InterPro)|GO:0006032(InterPro)|GO:0016998(InterPro)
NIC58.5530	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.5530	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.5530	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.5530	IPR042317	F-box protein she-1-like	-
NIC58.3677	IPR016073	SKP1 component, POZ domain	GO:0006511(InterPro)
NIC58.3677	IPR036296	SKP1-like, dimerisation domain superfamily	GO:0006511(InterPro)
NIC58.3677	IPR016897	S-phase kinase-associated protein 1	GO:0006511(InterPro)
NIC58.3677	IPR001232	S-phase kinase-associated protein 1-like	GO:0006511(InterPro)
NIC58.3677	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.3677	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.3677	IPR016072	SKP1 component, dimerisation	GO:0006511(InterPro)
NIC58.4711	IPR000344	7TM GPCR, serpentine receptor class a (Sra)	GO:0004930(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.3784	IPR011989	Armadillo-like helical	-
NIC58.3784	IPR016024	Armadillo-type fold	-
NIC58.3784	IPR013878	Mo25-like	-
NIC58.3784	IPR013878	Mo25-like	GO:0035556(PANTHER)|GO:0043539(PANTHER)
NIC58.9177	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.9177	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.9177	-	-	GO:0016405(PANTHER)
NIC58.9177	IPR025110	AMP-binding enzyme, C-terminal domain	-
NIC58.9177	IPR020845	AMP-binding, conserved site	-
NIC58.14500	IPR019087	Mediator of RNA polymerase II transcription subunit 15, N-terminal	-
NIC58.14500	IPR036529	Coactivator CBP, KIX domain superfamily	GO:0003712(InterPro)|GO:0006355(InterPro)
NIC58.14500	IPR048386	ARC105/Med15 mediator subunit, C-terminal domain	-
NIC58.5121	IPR012885	Sdz-33, F-box domain	-
NIC58.5121	-	-	GO:0009790(PANTHER)
NIC58.6445	IPR000073	Alpha/beta hydrolase fold-1	-
NIC58.6445	-	-	GO:0005739(PANTHER)|GO:0005811(PANTHER)|GO:0006654(PANTHER)|GO:0042171(PANTHER)|GO:0052689(PANTHER)|GO:0055088(PANTHER)
NIC58.6445	IPR000073	Alpha/beta hydrolase fold-1	-
NIC58.6445	IPR000073	Alpha/beta hydrolase fold-1	-
NIC58.6445	IPR000073	Alpha/beta hydrolase fold-1	-
NIC58.6445	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.6445	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.12058	-	-	GO:0005654(PANTHER)|GO:0006974(PANTHER)|GO:0042278(PANTHER)|GO:0140291(PANTHER)|GO:0140293(PANTHER)
NIC58.12058	IPR043472	Macro domain-like	-
NIC58.12058	IPR043472	Macro domain-like	-
NIC58.12058	IPR002589	Macro domain	-
NIC58.12058	IPR002589	Macro domain	-
NIC58.12058	IPR002589	Macro domain	-
NIC58.8886	IPR020845	AMP-binding, conserved site	-
NIC58.8886	IPR042099	ANL, N-terminal domain	-
NIC58.8886	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.8886	IPR025110	AMP-binding enzyme, C-terminal domain	-
NIC58.8886	-	-	GO:0006631(PANTHER)|GO:0031956(PANTHER)
NIC58.8886	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.11786	IPR057191	Domain of unknown function DUF7869	-
NIC58.10757	IPR002900	Domain of unknown function DUF38/FTH, Caenorhabditis species	-
NIC58.19074	IPR043198	Cyclin/Cyclin-like subunit Ssn8	GO:0006357(InterPro)|GO:0016538(InterPro)
NIC58.19074	IPR036915	Cyclin-like superfamily	-
NIC58.19074	IPR036915	Cyclin-like superfamily	-
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR022033	RAVE complex protein Rav1 C-terminal	-
NIC58.19471	IPR022033	RAVE complex protein Rav1 C-terminal	-
NIC58.19471	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.19471	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.19471	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.19471	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.19471	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.19471	IPR052208	DmX-like/RAVE complex component	GO:0007035(PANTHER)|GO:0043291(PANTHER)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR036857	Thyroglobulin type-1 superfamily	-
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR028150	Lustrin, cysteine-rich repeated	-
NIC58.10688	IPR028150	Lustrin, cysteine-rich repeated	-
NIC58.10688	IPR028150	Lustrin, cysteine-rich repeated	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR000716	Thyroglobulin type-1	-
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR000716	Thyroglobulin type-1	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR000716	Thyroglobulin type-1	-
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.10688	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.10688	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
