Orthogroup	Ce_transcript	Ct_transcript
OG0005730	transcript_F10G7.8.2	transcript_NIC58.3555.2
OG0005731	transcript_F10G7.4.1	transcript_NIC58.3556.1
OG0005732	transcript_F10G7.9a.1	transcript_NIC58.3559.2
OG0005733	transcript_F10G7.2.1	transcript_NIC58.3560.1
OG0005734	transcript_F10G7.10.2	transcript_NIC58.3569.1
OG0005735	transcript_F41C3.8b.1	transcript_NIC58.3570.1
OG0005736	transcript_F10G7.11.1	transcript_NIC58.3572.1
OG0005737	transcript_F41C3.7a.1	transcript_NIC58.3576.1
OG0005738	transcript_F41C3.11.1	transcript_NIC58.3575.1
OG0005739	transcript_F41C3.5.1	transcript_NIC58.3573.1
OG0005740	transcript_F41C3.2.1	transcript_NIC58.5246.1
OG0005741	transcript_F26G1.2a.1	transcript_NIC58.5241.1
OG0005742	transcript_F26G1.4.1	transcript_NIC58.5240.1
OG0005743	transcript_F26G1.5.1	transcript_NIC58.5239.1
OG0005744	transcript_F26G1.9.1	transcript_NIC58.5238.1
OG0005745	transcript_F26G1.6b.1	transcript_NIC58.5237.1
OG0005746	transcript_C33F10.4.1	transcript_NIC58.5233.1
OG0005747	transcript_C33F10.14.1	transcript_NIC58.5232.1
OG0005748	transcript_C33F10.5d.1	transcript_NIC58.5231.2
OG0005749	transcript_C33F10.7a.1	transcript_NIC58.5230.1
OG0005750	transcript_C33F10.2.1	transcript_NIC58.5235.1
OG0005751	transcript_T23B7.3a.1	transcript_NIC58.5229.1
OG0005752	transcript_F11G11.5.1	transcript_NIC58.5218.1
OG0005753	transcript_F11G11.11.1	transcript_NIC58.5214.1
OG0005754	transcript_R05F9.6.1	transcript_NIC58.5209.1
OG0005756	transcript_R05F9.9.1	transcript_NIC58.5207.1
OG0005757	transcript_R05F9.1b.1	transcript_NIC58.5205.3
OG0005758	transcript_ZK546.5.1	transcript_NIC58.5199.1
OG0005759	transcript_ZK546.4.1	transcript_NIC58.5198.1
OG0005760	transcript_ZK546.17.1	transcript_NIC58.5197.3
OG0005761	transcript_ZK546.14a.1	transcript_NIC58.5195.1
OG0005762	transcript_ZK546.2a.1	transcript_NIC58.5194.1
OG0005763	transcript_ZK546.15.1	transcript_NIC58.5193.1
OG0005764	transcript_ZK546.1b.1	transcript_NIC58.5189.3
OG0005765	transcript_Y38A8.1.1	transcript_NIC58.5192.1
OG0005766	transcript_Y38A8.2.1	transcript_NIC58.5191.1
OG0005767	transcript_Y38A8.3a.1	transcript_NIC58.5190.1
OG0005768	transcript_T27F7.2a.1	transcript_NIC58.5188.1
OG0005769	transcript_T27F7.3.1	transcript_NIC58.5187.1
OG0005770	transcript_T27F7.4.1	transcript_NIC58.5186.1
OG0005771	transcript_F59A6.10.1	transcript_NIC58.13728.1
OG0005772	transcript_F59A6.2.1	transcript_NIC58.307.1
OG0005773	transcript_F59A6.1a.1	transcript_NIC58.5176.2
OG0005774	transcript_F33G12.3.1	transcript_NIC58.5178.1
OG0005775	transcript_F33G12.7.1	transcript_NIC58.5170.1
OG0005776	transcript_F33G12.6a.1	transcript_NIC58.5169.1
OG0005777	transcript_C27A2.3.1	transcript_NIC58.5018.1
OG0005778	transcript_C27A2.12.1	transcript_NIC58.5166.1
OG0005779	transcript_C27A2.4.1	transcript_NIC58.5165.1
OG0005780	transcript_C27A2.5.1	transcript_NIC58.5156.1
OG0005781	transcript_C27A2.6.1	transcript_NIC58.5150.1
OG0005782	transcript_C04G6.3.1	transcript_NIC58.5149.1
OG0005783	transcript_F09C12.6.1	transcript_NIC58.5138.1
OG0005784	transcript_F09C12.1a.1	transcript_NIC58.5137.3
OG0005785	transcript_F58A6.2.1	transcript_NIC58.5136.1
OG0005786	transcript_F58A6.4.1	transcript_NIC58.5135.1
OG0005787	transcript_F58A6.1.1	transcript_NIC58.5134.1
OG0005788	transcript_F58A6.5.1	transcript_NIC58.5133.1
OG0005789	transcript_C27D6.15.1	transcript_NIC58.5125.1
OG0005790	transcript_C27D6.1.1	transcript_NIC58.5124.1
OG0005791	transcript_C27D6.12a.1	transcript_NIC58.5123.1
OG0005792	transcript_C34F11.5.1	transcript_NIC58.5120.1
OG0005793	transcript_C34F11.3d.1	transcript_NIC58.5119.1
OG0005794	transcript_C34F11.8.1	transcript_NIC58.5118.2
OG0005795	transcript_C34F11.9e.1	transcript_NIC58.5117.5
OG0005796	transcript_C54A12.1.1	transcript_NIC58.5114.1
OG0005797	transcript_C54A12.2b.1	transcript_NIC58.5113.2
OG0005798	transcript_C54A12.4.1	transcript_NIC58.5112.1
OG0005799	transcript_ZK622.3b.1	transcript_NIC58.5111.1
OG0005800	transcript_ZK622.2.1	transcript_NIC58.5110.2
OG0005801	transcript_ZK622.4.1	transcript_NIC58.5109.1
OG0005802	transcript_ZK622.1.1	transcript_NIC58.8777.1
OG0005803	transcript_F08B1.2a.1	transcript_NIC58.5108.1
OG0005804	transcript_F08B1.1e.1	transcript_NIC58.5107.6
OG0005805	transcript_F09E5.14.1	transcript_NIC58.5106.1
OG0005806	transcript_F09E5.8.1	transcript_NIC58.5105.1
OG0005807	transcript_F09E5.7.1	transcript_NIC58.5104.1
OG0005808	transcript_F09E5.4.1	transcript_NIC58.5103.1
OG0005809	transcript_F09E5.11.1	transcript_NIC58.5102.1
OG0005810	transcript_F09E5.17.1	transcript_NIC58.5101.1
OG0005811	transcript_F09E5.5.1	transcript_NIC58.5098.1
OG0005812	transcript_F09E5.16.1	transcript_NIC58.5100.1
OG0005813	transcript_F09E5.12.2	transcript_NIC58.5099.1
OG0005814	transcript_F09E5.13.1	transcript_NIC58.5097.1
OG0005815	transcript_F09E5.3.1	transcript_NIC58.5096.1
OG0005816	transcript_F09E5.1.1	transcript_NIC58.5094.1
OG0005817	transcript_EEED8.6.1	transcript_NIC58.5093.1
OG0005818	transcript_EEED8.7a.1	transcript_NIC58.5091.2
OG0005819	transcript_EEED8.8.1	transcript_NIC58.5090.1
OG0005820	transcript_EEED8.10a.1	transcript_NIC58.5083.1
OG0005821	transcript_EEED8.5.1	transcript_NIC58.5082.1
OG0005822	transcript_EEED8.11.1	transcript_NIC58.5081.1
OG0005823	transcript_EEED8.14.1	transcript_NIC58.5080.1
OG0005824	transcript_EEED8.3.1	transcript_NIC58.5079.2
OG0005825	transcript_EEED8.1.1	transcript_NIC58.5077.1
OG0005826	transcript_F07F6.2.1	transcript_NIC58.5074.1
OG0005827	transcript_F07F6.9.1	transcript_NIC58.5073.1
OG0005828	transcript_F07F6.5.1	transcript_NIC58.5072.1
OG0005829	transcript_F07F6.1.1	transcript_NIC58.5071.1
OG0005830	transcript_F07F6.6.1	transcript_NIC58.5070.1
OG0005831	transcript_F56D1.6.1	transcript_NIC58.5069.1
OG0005832	transcript_F56D1.5.1	transcript_NIC58.5068.1
OG0005833	transcript_F56D1.3.1	transcript_NIC58.5066.1
OG0005834	transcript_F56D1.2.1	transcript_NIC58.5065.1
OG0005835	transcript_F56D1.1.1	transcript_NIC58.5064.1
OG0005836	transcript_F12A10.4.1	transcript_NIC58.5062.1
OG0005837	transcript_F12A10.1.1	transcript_NIC58.5061.1
OG0005838	transcript_F12A10.7.1	transcript_NIC58.5059.1
OG0005839	transcript_F12A10.9.1	transcript_NIC58.5058.2
OG0005840	transcript_F12A10.8.1	transcript_NIC58.5057.1
OG0005841	transcript_ZK177.6.2	transcript_NIC58.5056.2
OG0005842	transcript_ZK177.5.1	transcript_NIC58.5055.2
OG0005843	transcript_ZK177.8a.2	transcript_NIC58.5054.3
OG0005844	transcript_ZK177.3.1	transcript_NIC58.5053.1
OG0005845	transcript_ZK177.11.1	transcript_NIC58.5046.1
OG0005846	transcript_C17C3.19.1	transcript_NIC58.5038.1
OG0005847	transcript_C17C3.3.1	transcript_NIC58.5035.1
OG0005848	transcript_C17C3.1a.1	transcript_NIC58.5034.1
OG0005849	transcript_T25E4.1.1	transcript_NIC58.5033.1
OG0005850	transcript_T25E4.2.1	transcript_NIC58.5032.1
OG0005851	transcript_C17G10.13.1	transcript_NIC58.5029.1
OG0005852	transcript_C17G10.4h.1	transcript_NIC58.5028.3
OG0005853	transcript_C17G10.2.1	transcript_NIC58.5027.2
OG0005854	transcript_C17G10.1.1	transcript_NIC58.5026.1
OG0005855	transcript_C17G10.10.1	transcript_NIC58.5025.1
OG0005856	transcript_F59E12.8.1	transcript_NIC58.5023.1
OG0005857	transcript_F59E12.9.1	transcript_NIC58.5022.3
OG0005858	transcript_F59E12.11.2	transcript_NIC58.5021.3
OG0005859	transcript_F59E12.12.1	transcript_NIC58.5020.1
OG0005860	transcript_F59E12.1.1	transcript_NIC58.5019.1
OG0005861	transcript_F59E12.13.1	transcript_NIC58.5016.1
OG0005862	transcript_C25H3.12.1	transcript_NIC58.5015.1
OG0005863	transcript_C25H3.6a.1	transcript_NIC58.5014.1
OG0005864	transcript_C25H3.16.1	transcript_NIC58.5013.1
OG0005865	transcript_C25H3.7a.1	transcript_NIC58.5012.1
OG0005866	transcript_C25H3.17.1	transcript_NIC58.5011.1
OG0005867	transcript_C25H3.11a.1	transcript_NIC58.5010.1
OG0005868	transcript_C25H3.5.1	transcript_NIC58.5009.1
OG0005869	transcript_C25H3.9.1	transcript_NIC58.5007.1
OG0005870	transcript_C25H3.4.1	transcript_NIC58.5006.2
OG0005872	transcript_C25H3.10a.1	transcript_NIC58.5005.1
OG0005873	transcript_C18A3.4a.1	transcript_NIC58.5004.1
OG0005874	transcript_C18A3.6a.1	transcript_NIC58.4997.1
OG0005875	transcript_F10C1.5.1	transcript_NIC58.4990.1
OG0005876	transcript_K05F1.6c.1	transcript_NIC58.4989.2
OG0005877	transcript_K05F1.13.1	transcript_NIC58.4988.1
OG0005878	transcript_K05F1.5.1	transcript_NIC58.4987.1
OG0005879	transcript_K05F1.1.1	transcript_NIC58.4985.1
OG0005880	transcript_K05F1.10.1	transcript_NIC58.4984.1
OG0005881	transcript_ZK1248.5.1	transcript_NIC58.4832.1
OG0005882	transcript_ZK1248.3a.1	transcript_NIC58.4983.1
OG0005883	transcript_ZK1248.10.1	transcript_NIC58.4970.2
OG0005884	transcript_ZK1248.11.1	transcript_NIC58.4982.1
OG0005885	transcript_ZK1248.13.1	transcript_NIC58.4980.1
OG0005886	transcript_ZK1248.2.1	transcript_NIC58.4979.2
OG0005887	transcript_ZK1248.14.1	transcript_NIC58.4976.1
OG0005888	transcript_ZK1248.15.1	transcript_NIC58.4975.1
OG0005889	transcript_ZK1248.19.1	transcript_NIC58.4974.1
OG0005890	transcript_ZK1248.16.1	transcript_NIC58.4973.1
OG0005891	transcript_ZK1248.1.1	transcript_NIC58.4971.2
OG0005892	transcript_H41C03.1.1	transcript_NIC58.4964.1
OG0005893	transcript_F55C12.4.1	transcript_NIC58.4963.1
OG0005894	transcript_F55C12.19.1	transcript_NIC58.4960.1
OG0005895	transcript_F55C12.5b.1	transcript_NIC58.4959.1
OG0005896	transcript_F55C12.6.1	transcript_NIC58.4958.1
OG0005897	transcript_F55C12.1b.1	transcript_NIC58.4957.2
OG0005898	transcript_F59G1.4a.1	transcript_NIC58.4956.1
OG0005899	transcript_F59G1.2.1	transcript_NIC58.4955.1
OG0005900	transcript_F59G1.8b.1	transcript_NIC58.14427.2
OG0005901	transcript_F59G1.3.1	transcript_NIC58.4837.1
OG0005902	transcript_F59G1.5.1	transcript_NIC58.4835.1
OG0005903	transcript_F28B12.3.1	transcript_NIC58.4834.1
OG0005904	transcript_F28B12.2i.1	transcript_NIC58.4833.2
OG0005905	transcript_B0034.3a.1	transcript_NIC58.4828.1
OG0005906	transcript_B0034.4.1	transcript_NIC58.4826.1
OG0005907	transcript_B0034.1.1	transcript_NIC58.4825.2
OG0005908	transcript_B0034.5.1	transcript_NIC58.4824.1
OG0005909	transcript_ZK75.2.1	transcript_NIC58.4823.1
OG0005910	transcript_ZK84.2.1	transcript_NIC58.4818.1
OG0005911	transcript_ZK84.5.1	transcript_NIC58.4549.1
OG0005912	transcript_ZK84.1.1	transcript_NIC58.4817.1
OG0005913	transcript_R12C12.9a.1	transcript_NIC58.4816.2
OG0005914	transcript_R12C12.3.1	transcript_NIC58.4815.1
OG0005915	transcript_R12C12.5.1	transcript_NIC58.4814.2
OG0005916	transcript_R12C12.6a.1	transcript_NIC58.4813.3
OG0005917	transcript_R12C12.2.1	transcript_NIC58.4812.2
OG0005918	transcript_R12C12.1a.1	transcript_NIC58.4811.1
OG0005919	transcript_F21H12.7.1	transcript_NIC58.4809.1
OG0005920	transcript_F21H12.6.1	transcript_NIC58.4808.1
OG0005921	transcript_F21H12.1.1	transcript_NIC58.4807.4
OG0005922	transcript_C29H12.3a.1	transcript_NIC58.4806.3
OG0005923	transcript_C29H12.6.1	transcript_NIC58.4805.1
OG0005924	transcript_C29H12.2.1	transcript_NIC58.4804.1
OG0005925	transcript_C29H12.1.1	transcript_NIC58.4803.1
OG0005926	transcript_F57F10.1e.1	transcript_NIC58.4802.4
OG0005927	transcript_H35N03.1.1	transcript_NIC58.4801.2
OG0005928	transcript_F40H3.5.1	transcript_NIC58.4800.1
OG0005929	transcript_F40H3.3.1	transcript_NIC58.4799.1
OG0005930	transcript_F40H3.2.1	transcript_NIC58.4798.1
OG0005931	transcript_F40H3.1a.1	transcript_NIC58.4796.1
OG0005932	transcript_F40H3.4.1	transcript_NIC58.4795.1
OG0005933	transcript_C30B5.3.1	transcript_NIC58.4794.3
OG0005934	transcript_C30B5.4.1	transcript_NIC58.4793.1
OG0005935	transcript_C30B5.2a.1	transcript_NIC58.4792.1
OG0005936	transcript_C30B5.17.1	transcript_NIC58.4790.1
OG0005937	transcript_C30B5.5.1	transcript_NIC58.4789.1
OG0005938	transcript_C30B5.9.1	transcript_NIC58.4788.1
OG0005939	transcript_C30B5.6b.1	transcript_NIC58.4787.1
OG0005940	transcript_C30B5.7.1	transcript_NIC58.4786.1
OG0005941	transcript_T24H7.5a.1	transcript_NIC58.4784.1
OG0005942	transcript_T24H7.4.1	transcript_NIC58.4783.1
OG0005943	transcript_T24H7.3.2	transcript_NIC58.4782.2
OG0005944	transcript_T24H7.2.1	transcript_NIC58.4781.1
OG0005945	transcript_T24H7.1.1	transcript_NIC58.4780.1
OG0005946	transcript_F13H8.5b.1	transcript_NIC58.4779.2
OG0005947	transcript_F13H8.11.1	transcript_NIC58.4778.1
OG0005948	transcript_F13H8.4.1	transcript_NIC58.4777.1
OG0005949	transcript_F13H8.12b.1	transcript_NIC58.4776.1
OG0005950	transcript_F13H8.3.1	transcript_NIC58.4775.1
OG0005951	transcript_F13H8.2.1	transcript_NIC58.4774.1
OG0005952	transcript_F13H8.10a.1	transcript_NIC58.4773.1
OG0005953	transcript_F13H8.9.1	transcript_NIC58.4772.1
OG0005954	transcript_F13H8.1b.1	transcript_NIC58.4771.1
OG0005955	transcript_F13H8.6.1	transcript_NIC58.4770.1
OG0005956	transcript_F13H8.7.1	transcript_NIC58.4769.1
OG0005957	transcript_C29F5.3.1	transcript_NIC58.4768.4
OG0005958	transcript_C29F5.1.1	transcript_NIC58.4767.1
OG0005959	transcript_C29F5.8.1	transcript_NIC58.4766.1
OG0005960	transcript_C29F5.7.1	transcript_NIC58.4765.1
OG0005961	transcript_C32D5.3.2	transcript_NIC58.4764.1
OG0005962	transcript_C32D5.4.1	transcript_NIC58.4763.1
OG0005963	transcript_C32D5.2.1	transcript_NIC58.4762.2
OG0005964	transcript_C32D5.6.1	transcript_NIC58.4761.2
OG0005965	transcript_C32D5.7.1	transcript_NIC58.4760.1
OG0005966	transcript_C32D5.9.1	transcript_NIC58.4758.1
OG0005967	transcript_C32D5.10.1	transcript_NIC58.4757.8
OG0005968	transcript_C32D5.11.1	transcript_NIC58.4756.1
OG0005969	transcript_C32D5.12.1	transcript_NIC58.4755.1
OG0005970	transcript_K10B2.4.1	transcript_NIC58.4754.1
OG0005971	transcript_K10B2.2a.1	transcript_NIC58.4752.1
OG0005972	transcript_K10B2.1b.1	transcript_NIC58.4751.1
OG0005973	transcript_F58F12.1.1	transcript_NIC58.4750.1
OG0005974	transcript_F58F12.4.1	transcript_NIC58.4749.1
OG0005975	transcript_F58F12.2.1	transcript_NIC58.4748.1
OG0005977	transcript_T25D10.2b.1	transcript_NIC58.4747.1
OG0005978	transcript_T25D10.1.1	transcript_NIC58.4746.1
OG0005979	transcript_T25D10.4.1	transcript_NIC58.4744.1
OG0005980	transcript_K03H9.2.1	transcript_NIC58.4743.1
OG0005981	transcript_K06A1.3.1	transcript_NIC58.4742.1
OG0005982	transcript_K06A1.2a.1	transcript_NIC58.4741.1
OG0005983	transcript_K06A1.4.1	transcript_NIC58.4740.1
OG0005984	transcript_K06A1.5.1	transcript_NIC58.4739.1
OG0005985	transcript_K06A1.1.1	transcript_NIC58.4738.1
OG0005986	transcript_K06A1.6e.1	transcript_NIC58.4737.1
OG0005987	transcript_T28D9.7.1	transcript_NIC58.4733.1
OG0005988	transcript_T28D9.4b.1	transcript_NIC58.4734.1
OG0005989	transcript_T28D9.3d.1	transcript_NIC58.4731.2
OG0005990	transcript_T28D9.10a.1	transcript_NIC58.4730.1
OG0005991	transcript_T28D9.2a.1	transcript_NIC58.4729.2
OG0005992	transcript_T28D9.1.1	transcript_NIC58.4728.1
OG0005993	transcript_R05G9.2b.1	transcript_NIC58.4727.1
OG0005994	transcript_R05G9.3.1	transcript_NIC58.4726.1
OG0005995	transcript_R05G9R.1.1	transcript_NIC58.4724.1
OG0005996	transcript_C56E6.2.1	transcript_NIC58.4722.1
OG0005997	transcript_C56E6.5.1	transcript_NIC58.4721.1
OG0005998	transcript_C56E6.1.1	transcript_NIC58.4720.1
OG0005999	transcript_F18C5.3.1	transcript_NIC58.4717.1
OG0006000	transcript_C56E6.6.1	transcript_NIC58.4718.1
OG0006001	transcript_F18C5.2.1	transcript_NIC58.4716.1
OG0006002	transcript_F18C5.10.1	transcript_NIC58.4715.1
OG0006003	transcript_F18C5.5.1	transcript_NIC58.4713.1
OG0006004	transcript_F18C5.9.1	transcript_NIC58.4712.1
OG0006005	transcript_C56C10.4.1	transcript_NIC58.4708.1
OG0006006	transcript_C56C10.7a.2	transcript_NIC58.4707.1
OG0006007	transcript_C56C10.8.1	transcript_NIC58.4706.1
OG0006008	transcript_C56C10.3.1	transcript_NIC58.4705.3
OG0006009	transcript_C56C10.9.1	transcript_NIC58.4704.1
OG0006010	transcript_C56C10.10.1	transcript_NIC58.4703.1
OG0006011	transcript_C56C10.13a.1	transcript_NIC58.4702.1
OG0006012	transcript_C56C10.12.1	transcript_NIC58.4700.1
OG0006013	transcript_C56C10.1.1	transcript_NIC58.4701.1
OG0006014	transcript_F54H5.4b.2	transcript_NIC58.4699.1
OG0006015	transcript_F54H5.3.1	transcript_NIC58.4698.1
OG0006016	transcript_F54H5.14.1	transcript_NIC58.4697.1
OG0006017	transcript_T19D12.4a.1	transcript_NIC58.4695.1
OG0006018	transcript_T19D12.6.1	transcript_NIC58.4694.1
OG0006019	transcript_T19D12.7.2	transcript_NIC58.4693.1
OG0006020	transcript_C18H9.8a.1	transcript_NIC58.4688.1
OG0006021	transcript_C18H9.3d.1	transcript_NIC58.4687.1
OG0006022	transcript_C18H9.5.1	transcript_NIC58.4686.1
OG0006023	transcript_C18H9.1.1	transcript_NIC58.4685.1
OG0006024	transcript_C18H9.6.1	transcript_NIC58.4684.1
OG0006025	transcript_C18H9.7.2	transcript_NIC58.4683.1
OG0006026	transcript_T14B4.6.1	transcript_NIC58.4682.2
OG0006027	transcript_T14B4.5.1	transcript_NIC58.4681.1
OG0006028	transcript_T14B4.4a.1	transcript_NIC58.4680.1
OG0006029	transcript_T14B4.8b.1	transcript_NIC58.4679.1
OG0006030	transcript_T14B4.3.1	transcript_NIC58.4677.1
OG0006031	transcript_T14B4.2.1	transcript_NIC58.4675.1
OG0006032	transcript_T14B4.1.1	transcript_NIC58.4674.1
OG0006033	transcript_F41G3.14.1	transcript_NIC58.4673.1
OG0006034	transcript_F41G3.6.1	transcript_NIC58.4672.1
OG0006035	transcript_F41G3.17.1	transcript_NIC58.4671.1
OG0006036	transcript_F41G3.16.1	transcript_NIC58.4670.1
OG0006037	transcript_F41G3.5.1	transcript_NIC58.4669.1
OG0006039	transcript_F41G3.11.1	transcript_NIC58.4665.1
OG0006040	transcript_F41G3.4.1	transcript_NIC58.4664.1
OG0006041	transcript_F41G3.3b.1	transcript_NIC58.4663.1
OG0006042	transcript_F41G3.12.1	transcript_NIC58.4661.3
OG0006043	transcript_F41G3.1.1	transcript_NIC58.4662.1
OG0006044	transcript_T13C2.4.2	transcript_NIC58.4660.1
OG0006045	transcript_T13C2.6b.1	transcript_NIC58.4657.2
OG0006046	transcript_T13C2.2.1	transcript_NIC58.4656.1
OG0006047	transcript_F31E8.4.1	transcript_NIC58.4655.1
OG0006048	transcript_F31E8.3a.1	transcript_NIC58.4654.1
OG0006049	transcript_F31E8.2b.1	transcript_NIC58.4653.2
OG0006050	transcript_C04A2.3a.1	transcript_NIC58.4652.4
OG0006051	transcript_C04A2.1.1	transcript_NIC58.4651.2
OG0006052	transcript_C04A2.15.1	transcript_NIC58.4648.1
OG0006053	transcript_C04A2.7a.1	transcript_NIC58.4647.2
OG0006054	transcript_C44B7.3.1	transcript_NIC58.4646.1
OG0006055	transcript_C44B7.4.1	transcript_NIC58.4645.1
OG0006056	transcript_C44B7.5.1	transcript_NIC58.4644.1
OG0006057	transcript_C44B7.6a.1	transcript_NIC58.4642.1
OG0006058	transcript_C44B7.7.1	transcript_NIC58.4641.1
OG0006059	transcript_C44B7.10.1	transcript_NIC58.4638.1
OG0006060	transcript_C44B7.12.1	transcript_NIC58.4637.1
OG0006061	transcript_C44B7.11.1	transcript_NIC58.4636.1
OG0006062	transcript_C44B7.2a.2	transcript_NIC58.4635.1
OG0006063	transcript_C44B7.1.1	transcript_NIC58.4634.1
OG0006064	transcript_B0252.3b.1	transcript_NIC58.4633.1
OG0006065	transcript_B0252.2.1	transcript_NIC58.4632.1
OG0006066	transcript_B0252.4b.1	transcript_NIC58.4631.1
OG0006067	transcript_B0252.8.1	transcript_NIC58.4630.1
OG0006068	transcript_B0252.5.1	transcript_NIC58.4629.1
OG0006069	transcript_B0252.1.1	transcript_NIC58.4628.1
OG0006070	transcript_F22D3.4.1	transcript_NIC58.4627.1
OG0006071	transcript_F22D3.2g.1	transcript_NIC58.4626.3
OG0006072	transcript_F22D3.6.1	transcript_NIC58.4625.1
OG0006073	transcript_C15F1.4.1	transcript_NIC58.4622.1
OG0006074	transcript_C15F1.5a.1	transcript_NIC58.4621.1
OG0006075	transcript_C15F1.6.1	transcript_NIC58.4620.1
OG0006076	transcript_C15F1.2.1	transcript_NIC58.4618.1
OG0006077	transcript_C15F1.1b.1	transcript_NIC58.4617.1
OG0006078	transcript_C52E12.2b.1	transcript_NIC58.4615.3
OG0006079	transcript_C52E12.3.2	transcript_NIC58.4614.1
OG0006080	transcript_C52E12.4.1	transcript_NIC58.4613.2
OG0006081	transcript_C52E12.1b.1	transcript_NIC58.4611.1
OG0006082	transcript_ZK1127.9a.1	transcript_NIC58.4608.1
OG0006083	transcript_ZK1127.5.1	transcript_NIC58.4607.5
OG0006084	transcript_ZK1127.4.1	transcript_NIC58.4606.1
OG0006085	transcript_ZK1127.11.1	transcript_NIC58.4602.1
OG0006086	transcript_ZK1127.1.1	transcript_NIC58.4603.1
OG0006087	transcript_T02G5.9b.1	transcript_NIC58.4601.2
OG0006088	transcript_T02G5.3.1	transcript_NIC58.4598.1
OG0006089	transcript_T02G5.13a.1	transcript_NIC58.4596.1
OG0006090	transcript_F10E7.8b.1	transcript_NIC58.4595.2
OG0006091	transcript_F10E7.7.1	transcript_NIC58.4594.1
OG0006092	transcript_F10E7.9.1	transcript_NIC58.4593.1
OG0006093	transcript_F10E7.5.2	transcript_NIC58.4592.1
OG0006094	transcript_F10E7.6.1	transcript_NIC58.4591.2
OG0006095	transcript_F10E7.10.1	transcript_NIC58.4590.1
OG0006096	transcript_F10E7.4.1	transcript_NIC58.4589.1
OG0006097	transcript_T07F8.3a.1	transcript_NIC58.4587.3
OG0006098	transcript_T07F8.2.1	transcript_NIC58.4586.1
OG0006099	transcript_C27H5.2a.1	transcript_NIC58.4584.1
OG0006100	transcript_C27H5.4a.1	transcript_NIC58.4583.2
OG0006101	transcript_C27H5.7a.1	transcript_NIC58.4582.1
OG0006102	transcript_C27H5.8.1	transcript_NIC58.4581.2
OG0006103	transcript_C27H5.1.1	transcript_NIC58.4580.1
OG0006104	transcript_C27H5.6.1	transcript_NIC58.4579.2
OG0006105	transcript_E04F6.4.1	transcript_NIC58.4578.1
OG0006106	transcript_E04F6.5a.2	transcript_NIC58.4577.1
OG0006107	transcript_E04F6.3.1	transcript_NIC58.4576.1
OG0006108	transcript_E04F6.6.1	transcript_NIC58.4575.3
OG0006109	transcript_E04F6.2.1	transcript_NIC58.4574.1
OG0006110	transcript_E04F6.10.2	transcript_NIC58.4565.1
OG0006111	transcript_E04F6.11i.1	transcript_NIC58.4564.2
OG0006112	transcript_F32A5.4a.1	transcript_NIC58.4563.1
OG0006113	transcript_F32A5.3.1	transcript_NIC58.4562.1
OG0006114	transcript_F32A5.5a.1	transcript_NIC58.4561.4
OG0006115	transcript_F32A5.2a.1	transcript_NIC58.4560.1
OG0006116	transcript_F32A5.6.1	transcript_NIC58.4559.1
OG0006117	transcript_F32A5.7.1	transcript_NIC58.4558.1
OG0006118	transcript_F32A5.1a.1	transcript_NIC58.4557.2
OG0006119	transcript_C30G12.4.1	transcript_NIC58.4555.2
OG0006120	transcript_C30G12.6a.1	transcript_NIC58.4553.3
OG0006121	transcript_C30G12.7.1	transcript_NIC58.4552.2
OG0006122	transcript_C30G12.1a.1	transcript_NIC58.4550.1
OG0006123	transcript_F45E12.3.1	transcript_NIC58.4548.1
OG0006124	transcript_F45E12.2a.1	transcript_NIC58.4547.1
OG0006125	transcript_F45E12.5a.1	transcript_NIC58.4546.2
OG0006126	transcript_F45E12.1b.1	transcript_NIC58.4545.2
OG0006127	transcript_F45E12.6.1	transcript_NIC58.4544.1
OG0006128	transcript_F21D12.3.2	transcript_NIC58.4543.3
OG0006129	transcript_F21D12.5.1	transcript_NIC58.4542.1
OG0006130	transcript_F43E2.4.1	transcript_NIC58.4540.1
OG0006131	transcript_F43E2.3b.1	transcript_NIC58.4539.2
OG0006132	transcript_F43E2.5.1	transcript_NIC58.4538.1
OG0006133	transcript_F43E2.11.1	transcript_NIC58.4537.1
OG0006134	transcript_F43E2.7.1	transcript_NIC58.4536.1
OG0006135	transcript_C07D10.5.1	transcript_NIC58.4533.2
OG0006136	transcript_C07D10.3.1	transcript_NIC58.4532.1
OG0006137	transcript_C07D10.2b.1	transcript_NIC58.4531.1
OG0006138	transcript_C07D10.1.1	transcript_NIC58.4530.1
OG0006139	transcript_C07D10.4.1	transcript_NIC58.4529.1
OG0006140	transcript_K02A2.5.1	transcript_NIC58.4528.1
OG0006141	transcript_K02A2.3b.1	transcript_NIC58.4527.1
OG0006142	transcript_D1022.2.1	transcript_NIC58.4524.2
OG0006143	transcript_D1022.6.1	transcript_NIC58.4523.2
OG0006144	transcript_D1022.7b.1	transcript_NIC58.4521.1
OG0006145	transcript_D1022.1a.1	transcript_NIC58.4522.1
OG0006146	transcript_D1022.8.1	transcript_NIC58.19327.2
OG0006147	transcript_D1022.9a.1	transcript_NIC58.9368.1
OG0006148	transcript_R10H1.5.1	transcript_NIC58.4518.1
OG0006149	transcript_R10H1.1.1	transcript_NIC58.4519.1
OG0006150	transcript_R10H1.4.2	transcript_NIC58.4520.1
OG0006151	transcript_C28F5.2d.1	transcript_NIC58.4516.1
OG0006152	transcript_ZK1290.6.1	transcript_NIC58.4517.1
